Date,Description,Amount,Type,UPI_ID,Balance
2024-04-01,Salary Credit Acme Tech,95500.00,Credit,employer@hdfcbank,61200.00
2024-04-03,Ola Cab,-228.00,Debit,ola@hdfcbank,156700.00
2024-04-05,Ola Cab,-404.00,Debit,ola@hdfcbank,156472.00
2024-04-06,Amazon Shopping,-1024.00,Debit,amazon@apl,156068.00
2024-04-06,Indian Oil Fuel,-1975.00,Debit,iocl@oksbi,155044.00
2024-04-07,Netflix Subscription,-649.00,Debit,netflix@axisbank,153069.00
2024-04-09,Ola Cab,-168.00,Debit,ola@hdfcbank,152420.00
2024-04-10,Rent Transfer,-22000.00,Debit,landlord@okicici,152252.00
2024-04-10,Rent Transfer,-22000.00,Debit,landlord@okicici,234524.00
2024-04-12,Amazon Shopping,-3759.00,Debit,amazon@apl,130252.00
2024-04-14,Netflix Subscription,-649.00,Debit,netflix@axisbank,126493.00
2024-04-14,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,125071.00
2024-04-14,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,206404.00
2024-04-14,Zomato Order,-773.00,Debit,zomato@icici,125844.00
2024-04-15,Zomato Order,-315.00,Debit,zomato@icici,115071.00
2024-04-17,Ola Cab,-215.00,Debit,ola@hdfcbank,114756.00
2024-04-18,Amazon Refund,899.00,Credit,amazonrefund@apl,114541.00
2024-04-19,DMart Grocery,-3389.00,Debit,dmart@dmart,115440.00
2024-04-21,Amazon Shopping,-1325.00,Debit,amazon@apl,112051.00
2024-04-21,DMart Grocery,-1640.00,Debit,dmart@dmart,110726.00
2024-04-22,Uber Ride,-314.00,Debit,uber@axl,109086.00
2024-04-24,Zomato Order,-619.00,Debit,zomato@icici,108772.00
2024-04-25,HDFC Credit Card Bill,-7100.00,Debit,hdfccard@hdfc,108153.00
2024-04-27,Apollo Pharmacy,-764.00,Debit,apollopharmacy@hdfc,101053.00
2024-04-28,Airtel Postpaid Bill,-799.00,Debit,airtel@airtel,96613.00
2024-04-28,DMart Grocery,-3676.00,Debit,dmart@dmart,100289.00
2024-04-29,Uber Ride,-217.00,Debit,uber@axl,95814.00
2024-05-01,Salary Credit Acme Tech,99000.00,Credit,employer@hdfcbank,95597.00
2024-05-03,BigBasket Grocery,-1791.00,Debit,bigbasket@axisbank,194597.00
2024-05-05,Zomato Order,-775.00,Debit,zomato@icici,192806.00
2024-05-06,Swiggy Order,-231.00,Debit,swiggy@yesbank,191490.00
2024-05-06,Zomato Order,-541.00,Debit,zomato@icici,192031.00
2024-05-07,PVR Cinema,-1349.00,Debit,pvr@icicibank,191259.00
2024-05-09,Netflix Subscription,-649.00,Debit,netflix@axisbank,189910.00
2024-05-10,Rent Transfer,-22000.00,Debit,landlord@okicici,189261.00
2024-05-10,Rent Transfer,-22000.00,Debit,landlord@okicici,281795.00
2024-05-12,Zomato Order,-740.00,Debit,zomato@icici,167261.00
2024-05-14,Swiggy Order,-370.00,Debit,swiggy@yesbank,166521.00
2024-05-14,Swiggy Order,-249.00,Debit,swiggy@yesbank,166151.00
2024-05-14,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,165902.00
2024-05-14,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,258353.00
2024-05-15,Airtel Postpaid Bill,-799.00,Debit,airtel@airtel,155902.00
2024-05-17,DMart Grocery,-1891.00,Debit,dmart@dmart,155103.00
2024-05-19,Spotify Premium,-119.00,Debit,spotify@oksbi,153212.00
2024-05-21,Spotify Premium,-119.00,Debit,spotify@oksbi,153093.00
2024-05-21,Spotify Premium,-119.00,Debit,spotify@oksbi,152974.00
2024-05-22,DMart Grocery,-4092.00,Debit,dmart@dmart,152855.00
2024-05-24,Spotify Premium,-119.00,Debit,spotify@oksbi,148763.00
2024-05-25,HDFC Credit Card Bill,-7100.00,Debit,hdfccard@hdfc,148644.00
2024-05-27,DMart Grocery,-4143.00,Debit,dmart@dmart,141544.00
2024-05-28,Jio Recharge,-559.00,Debit,jio@okaxis,137401.00
2024-05-28,Ola Cab,-265.00,Debit,ola@hdfcbank,136842.00
2024-05-29,DMart Grocery,-1936.00,Debit,dmart@dmart,136577.00
2024-06-01,Salary Credit Acme Tech,92000.00,Credit,employer@hdfcbank,134641.00
2024-06-03,Airtel Postpaid Bill,-799.00,Debit,airtel@airtel,226641.00
2024-06-05,Amazon Shopping,-1745.00,Debit,amazon@apl,225842.00
2024-06-06,Apollo Pharmacy,-1333.00,Debit,apollopharmacy@hdfc,223908.00
2024-06-06,Swiggy Order,-189.00,Debit,swiggy@yesbank,224097.00
2024-06-07,Ola Cab,-167.00,Debit,ola@hdfcbank,222575.00
2024-06-09,Netflix Subscription,-649.00,Debit,netflix@axisbank,222408.00
2024-06-10,Rent Transfer,-22000.00,Debit,landlord@okicici,221759.00
2024-06-12,Netflix Subscription,-649.00,Debit,netflix@axisbank,199759.00
2024-06-14,Swiggy Order,-430.00,Debit,swiggy@yesbank,198812.00
