Date,Description,Amount,Type,UPI_ID,Balance
2024-01-02,Zomato Order #12345,-450.00,Debit,zomato@icici,24550.00
2024-01-02,Zomato Order #12345,-450.00,Debit,zomato@icici,24100.00
2024-01-03,Uber Ride Mumbai,-180.00,Debit,uber@axl,23920.00
2024-01-03,Swiggy Instamart,-320.00,Debit,swiggy@yesbank,23600.00
2024-01-04,Swiggy Order,-310.00,Debit,swiggy@yesbank,23290.00
2024-01-05,Amazon Shopping,-1299.00,Debit,amazon@apl,21991.00
2024-01-06,Netflix Subscription,-649.00,Debit,netflix@axisbank,21342.00
2024-01-07,Salary Credit,85000.00,Credit,employer@hdfcbank,106342.00
2024-01-08,Airtel Postpaid Bill,-799.00,Debit,airtel@airtel,105543.00
2024-01-09,Zomato Order #12567,-560.00,Debit,zomato@icici,104983.00
2024-01-09,Swiggy Order,-290.00,Debit,swiggy@yesbank,104693.00
2024-01-10,Petrol Station HPCL,-2200.00,Debit,hpcl@okhdfc,102493.00
2024-01-11,BigBasket Grocery,-1850.00,Debit,bigbasket@axisbank,100643.00
2024-01-12,Apollo Pharmacy,-430.00,Debit,apollopharmacy@hdfc,100213.00
2024-01-13,Ola Cab,-220.00,Debit,ola@hdfcbank,99993.00
2024-01-14,DMart Grocery,-2400.00,Debit,dmart@dmart,97593.00
2024-01-14,Zomato Order,-380.00,Debit,zomato@icici,97213.00
2024-01-15,Swiggy Order,-410.00,Debit,swiggy@yesbank,96803.00
2024-01-16,Gym Membership Cult,-1499.00,Debit,cultsport@axis,95304.00
2024-01-17,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,85304.00
2024-01-18,Electricity Bill BESCOM,-1200.00,Debit,bescom@okhdfc,84104.00
2024-01-19,Amazon Order Books,-899.00,Debit,amazon@apl,83205.00
2024-01-20,Uber Eats,-340.00,Debit,uber@axl,82865.00
2024-01-21,PVR Cinema Tickets,-680.00,Debit,pvr@icicibank,82185.00
2024-01-22,Jio Recharge,-299.00,Debit,jio@jiomoney,81886.00
